Both diff:	恍	huang3	Score: 81.6753

Critical:	鸦	ya1	Aggregate: 7.420231957561464
Both sim:	鸭	ya1	Score: 75.8824
Ortho sim:	鸿	hong2	Score: 63.8457
Phono sim:	丫	ya1	Score: 97.6471
Both diff:	痉	jing4	Score: 80.9854

Critical:	蔫	nian1	Aggregate: 7.336179757973678
Both sim:	蔓	man2	Score: 74.7176
Ortho sim:	蔚	yu4	Score: 60.0753
Phono sim:	拈	nian1	Score: 94.9777
Both diff:	乙	yi3	Score: 75.0418

Critical:	距	ju4	Aggregate: 6.731733476892497
Both sim:	巨	ju4	Score: 84.7059
Ortho sim:	央	yang1	Score: 61.4356
Phono sim:	剧	ju4	Score: 100.0
Both diff:	谙	an1	Score: 78.9743

Critical:	巨	ju4	Aggregate: 6.648918758923287
Both sim:	拒	ju4	Score: 84.7059
Ortho sim:	央	yang1	Score: 61.4356
Phono sim:	足	ju4	Score: 100.0
Both diff:	鞍	an1	Score: 78.4514

Critical:	拒	ju4	Aggregate: 6.595537203531182
Both sim:	巨	ju4	Score: 84.7059
Ortho sim:	央	yang1	Score: 61.4356
Phono sim:	剧	ju4	Score: 100.0
Both diff:	氨	an1	Score: 78.1083

Critical:	芬	fen1	Aggregate: 7.009181988536284
Both sim:	芯	xin1	Score: 68.3789
Ortho sim:	芸	yi4	Score: 62.7694
Phono sim:	珍	zhen1	Score: 94.0943
Both diff:	隘	ai4	Score: 73.8045

Critical:	喃	nan2	Aggregate: 6.714245353092091
Both sim:	楠	nan2	Score: 73.9607
Ortho sim:	喻	yu4	Score: 58.65
Phono sim:	囡	nan1	Score: 93.3261
Both diff:	疫	yi4	Score: 68.7474

Critical:	秩	zhi4	Aggregate: 7.945108788417323
Both sim:	秘	mi4	Score: 69.5734
Ortho sim:	秧	yang1	Score: 70.769
Phono sim:	掷	zhi4	Score: 95.1743
Both diff:	阳	yang2	Score: 81.0069

Critical:	搡	sang3	Aggregate: 7.589923850137068
Both sim:	搪	tang2	Score: 74.6734
Ortho sim:	揖	yi1	Score: 62.5436
Phono sim:	档	dang3	Score: 94.8734
Both diff:	屹	yi4	Score: 79.3811

Critical:	维	wei2	Aggregate: 6.662553697102642
Both sim:	唯	wei2	Score: 88.2353
Ortho sim:	综	zeng4	Score: 61.286
Phono sim:	为	wei2	Score: 98.3957
Both diff:	冈	gang1	Score: 80.1105

Critical:	噪	zao4	Aggregate: 6.6823592440535124
Both sim:	燥	zao4	Score: 74.4364
Ortho sim:	嘤	ying1	Score: 62.2813
Phono sim:	赵	zhao4	Score: 97.2627
Both diff:	而	er2	Score: 71.6089

Critical:	嘎	ga2	Aggregate: 6.979484192932864
Both sim:	嗨	hai1	Score: 69.0044
Ortho sim:	嘤	ying1	Score: 60.3578
Phono sim:	钆	ga2	Score: 92.8247
Both diff:	用	yong4	Score: 72.6307

Critical:	吠	fei4	Aggregate: 5.7267676914013075
Both sim:	呗	bai4	Score: 79.9989
Ortho sim:	听	yin3	Score: 56.7134
Phono sim:	废	fei4	Score: 92.1218
Both diff:	玩	wan2	Score: 67.6378

Critical:	殃	yang1	Aggregate: 7.144410295724872
Both sim:	秧	yang1	Score: 75.8824
Ortho sim:	炽	chi4	Score: 60.7659
Phono sim:	洋	yang2	Score: 90.5483
Both diff:	俪	li4	Score: 85.9279

Critical:	健	jian4	Aggregate: 7.148140790715605
Both sim:	倦	juan4	Score: 86.3689
Ortho sim:	倚	yi3	Score: 61.9297
Phono sim:	剑	jian4	Score: 100.0
Both diff:	讴	ou1	Score: 84.5485

Critical:	守	shou3	Aggregate: 5.8186582748475315
Both sim:	导	dao3	Score: 78.0041
Ortho sim:	安	an1	Score: 62.0532
Phono sim:	陡	dou3	Score: 96.4788
Both diff:	沅	yuan2	Score: 64.665

Critical:	仲	zhong4	Aggregate: 6.953044947862013
Both sim:	中	zhong1	Score: 73.5077
Ortho sim:	伪	wei3	Score: 68.3326
Phono sim:	郑	zheng4	Score: 96.6177
Both diff:	锿	ai1	Score: 88.2037

Critical:	喹	kui2	Aggregate: 7.285533250097031
Both sim:	喙	hui4	Score: 77.8735
Ortho sim:	嘤	ying1	Score: 60.0704
Phono sim:	魁	kui2	Score: 97.2851
Both diff:	影	ying3	Score: 76.3718

Critical:	倜	ti4	Aggregate: 6.194360945777098
Both sim:	倍	bei4	Score: 78.2209
Ortho sim:	俺	an3	Score: 59.9181
Phono sim:	剃	ti4	Score: 100.0
Both diff:	阉	yan1	Score: 72.2022

Critical:	旺	wang4	Aggregate: 6.9754287575590235
Both sim:	枉	wang3	Score: 84.5026
Ortho sim:	玆	zi1	Score: 59.0895
Phono sim:	亡	wang2	Score: 87.2404
Both diff:	狙	ju1	Score: 89.3198

Critical:	仪	yi2	Aggregate: 6.955640212511842
Both sim:	义	yi4	Score: 71.9463
Ortho sim:	仗	zhang4	Score: 74.6626
Phono sim:	颐	yi2	Score: 98.0392
Both diff:	逛	guang4	Score: 93.1317

Critical:	持	chi2	Aggregate: 7.256260011320384
Both sim:	挤	ji3	Score: 70.3751
Ortho sim:	按	an4	Score: 68.4046
Phono sim:	匙	chi2	Score: 98.9814
Both diff:	忘	wang4	Score: 78.8883
