		O-P+	抢	qiang1	1.753	see 搶風|抢风[qiang1 feng1]
		O-P-	逸	yi4	1.987	to escape

诬	wu1	O+P+	巫	wu1	2.0	surname Wu
	to accuse falsely	O+P-	谎	huang3	1.550	lies
		O-P+	邬	wu1	1.940	surname Wu
		O-P-	创	chuang4	1.959	variant of 創|创[chuang4]

氏	shi4	O+P+	止	zhi3	1.869	to stop
	clan name	O+P-	王	wang2	1.718	surname Wang
		O-P+	舐	shi4	2.0	to lick
		O-P-	剜	wan1	1.862	to scoop out

臣	chen2	O+P+	辰	chen2	1.857	5th earthly branch: 7-9 a.m., 3rd solar month (5th April-4th May), year of the Dragon
	surname Chen	O+P-	页	ye4	1.863	page
		O-P+	疹	zhen3	1.856	measles
		O-P-	郁	yu4	1.872	variant of 鬱|郁[yu4]

豆	dou4	O+P+	逗	dou4	2.0	to stay
	variant of 豆[dou4]	O+P-	洋	yang2	1.658	ocean
		O-P+	痩	shou4	1.913	Japanese variant of 瘦[shou4]
		O-P-	剜	wan1	1.874	to scoop out

米	mi3	O+P+	迷	mi2	1.902	to bewilder
	surname Mi	O+P-	羊	yang2	1.871	surname Yang
		O-P+	鄙	bi3	1.826	rustic
		O-P-	剜	wan1	1.844	to scoop out

硝	xiao1	O+P+	销	xiao1	1.85	to melt (metal)
	saltpeter	O+P-	硬	ying4	1.867	hard
		O-P+	削	xiao1	1.841	to peel with a knife
		O-P-	二	er4	1.884	two

翼	yi4	O+P+	翌	yi4	1.695	bright
	surname Yi	O+P-	荒	huang1	1.852	desolate
		O-P+	逸	yi4	1.999	to escape
		O-P-	庄	zhuang1	1.895	variant of 莊|庄[zhuang1]

测	ce4	O+P+	注	zhu4	1.740	to inject
	to survey	O+P-	沿	yan2	1.725	along
		O-P+	侧	ce4	2.0	the side
		O-P-	央	yang1	1.976	center

嗜	shi4	O+P+	嗤	chi1	1.689	laugh at
	addicted to	O+P-	嗡	weng1	1.863	(onom.) buzz
		O-P+	式	shi4	1.954	type
		O-P-	肮	ang1	1.934	dirty

鱼	yu2	O+P+	雨	yu3	1.921	rain
	surname Yu	O+P-	倩	qian4	1.560	pretty
		O-P+	渔	yu2	2.0	fisherman
		O-P-	创	chuang4	1.959	variant of 創|创[chuang4]

止	zhi3	O+P+	氏	shi4	1.865	clan name
	to stop	O+P-	王	wang2	1.716	surname Wang
		O-P+	趾	zhi3	2.0	toe
		O-P-	剜	wan1	1.858	to scoop out

愉	yu2	O+P+	逾	yu2	1.786	variant of 逾[yu2]
	pleased	O+P-	慌	huang1	1.792	to get panicky
		O-P+	虞	yu2	1.901	surname Yu
		O-P-	创	chuang4	1.959	variant of 創|创[chuang4]

淹	yan1	O+P+	湲	yuan2	1.552	rushing (water)
	to flood	O+P-	渍	zi4	1.928	to soak
		O-P+	烟	yan1	1.956	cigarette or pipe tobacco
		O-P-	剂	ji4	2.0	dose (medicine)

苫	shan1	O+P+	芯	xin1	1.723	lamp pith
	straw mat	O+P-	苇	wei3	1.829	reed
		O-P+	删	shan1	1.887	to delete
		O-P-	逸	yi4	1.996	to escape

洙	zhu1	O+P+	洲	zhou1	1.870	continent
	surname Zhu	O+P-	泳	yong3	1.694	swimming
		O-P+	朱	zhu1	2.0	surname Zhu
		O-P-	望	wang4	1.868	full moon

